20/05/2010 02:20:03 م | 192.168.116.70 | pmi0366.gofi.home | http://intra.ida.gov.eg/databank/Default.aspx
20/05/2010 02:20:10 م | 192.168.116.70 | pmi0366.gofi.home | http://intra.ida.gov.eg/databank/details.aspx?dID=57
20/05/2010 02:20:30 م | 192.168.116.70 | pmi0366.gofi.home | http://intra.ida.gov.eg/databank/Default.aspx
20/05/2010 02:21:00 م | 192.168.116.70 | pmi0366.gofi.home | http://intra.ida.gov.eg/databank/details.aspx?dID=157
20/05/2010 02:21:11 م | 192.168.116.70 | pmi0366.gofi.home | http://intra.ida.gov.eg/databank/Default.aspx
20/05/2010 02:21:16 م | 192.168.116.70 | pmi0366.gofi.home | http://intra.ida.gov.eg/databank/details.aspx?dID=57
20/05/2010 02:21:25 م | 192.168.116.70 | pmi0366.gofi.home | http://intra.ida.gov.eg/databank/Default.aspx
20/05/2010 02:21:28 م | 192.168.116.70 | pmi0366.gofi.home | http://intra.ida.gov.eg/databank/details.aspx?dID=29
20/05/2010 02:24:34 م | 192.168.116.39 | pmi0306.gofi.home | http://intra.ida.gov.eg/databank/Default.aspx
20/05/2010 02:24:38 م | 192.168.116.39 | pmi0306.gofi.home | http://intra.ida.gov.eg/databank/login.aspx?ReturnUrl=/databank/Members/InsertDecesion.aspx
20/05/2010 02:24:42 م | 192.168.116.39 | pmi0306.gofi.home | http://intra.ida.gov.eg/databank/decsaerch.aspx
20/05/2010 02:35:16 م | 127.0.0.1 | localhost | http://localhost:2000/DataBank/Default.aspx
20/05/2010 02:35:19 م | 192.168.116.90 | dkamal.gofi.home | http://intra.ida.gov.eg/databank/Default.aspx
20/05/2010 02:35:34 م | 192.168.116.90 | dkamal.gofi.home | http://intra.ida.gov.eg/databank/Default.aspx
20/05/2010 02:37:27 م | 192.168.116.90 | dkamal.gofi.home | http://intra.ida.gov.eg/databank/details.aspx?dID=10
20/05/2010 02:37:50 م | 192.168.116.90 | dkamal.gofi.home | http://intra.ida.gov.eg/databank/details.aspx?dID=10
20/05/2010 02:54:03 م | 192.168.116.90 | dkamal.gofi.home | http://intra.ida.gov.eg/databank/Default.aspx
20/05/2010 02:54:09 م | 192.168.116.90 | dkamal.gofi.home | http://intra.ida.gov.eg/databank/details.aspx?dID=52
23/05/2010 08:36:38 ص | 192.168.116.70 | pmi0366.gofi.home | http://intra.ida.gov.eg/databank/Default.aspx
